frameIndex,frameTime,pcm_fftMag_mfcc[1],pcm_fftMag_mfcc[2],pcm_fftMag_mfcc[3],pcm_fftMag_mfcc[4],pcm_fftMag_mfcc[5],pcm_fftMag_mfcc[6],pcm_fftMag_mfcc[7],pcm_fftMag_mfcc[8],pcm_fftMag_mfcc[9],pcm_fftMag_mfcc[10],pcm_fftMag_mfcc[11],pcm_fftMag_mfcc[12],pcm_LOGenergy
0,0.000000,-1.814907e+01,-6.018524e+00,1.158543e+00,2.097023e+00,-1.377068e+01,-5.681447e+00,-1.819075e+01,-3.716592e+00,-9.361480e+00,-1.008538e+01,-5.339077e+00,1.124700e+01,1.430626e+01
1,0.010000,-1.722419e+01,4.887878e+00,1.568876e+00,2.270044e+00,-1.230963e+01,4.665734e+00,-1.925772e+01,-1.158303e+01,-1.419769e+01,1.278515e-01,-5.409689e+00,1.109741e+01,1.476772e+01
2,0.020000,-2.336333e+01,7.198482e+00,-1.348793e+01,4.808052e+00,-2.353274e+01,2.839840e+00,-2.846775e+01,-4.685176e+00,-2.611841e+01,-8.392006e+00,-1.145770e+01,-1.609684e-01,1.508458e+01
3,0.030000,-2.878403e+01,5.498273e+00,-1.250419e+01,7.826447e+00,-2.539505e+01,4.483602e+00,-2.134614e+01,-1.842541e+00,-1.421581e+01,-3.115807e+00,-5.555065e+00,1.085531e+01,1.516055e+01
4,0.040000,-2.722602e+01,9.275991e+00,-1.059146e+01,1.815279e+01,-1.759376e+01,7.570622e-01,-1.957627e+01,-1.924188e+01,-1.822414e+01,-1.356459e+01,6.101397e+00,6.376672e+00,1.516946e+01
5,0.050000,-2.611720e+01,1.145354e+01,-1.062658e+01,1.059805e+01,-1.587490e+01,1.331239e+00,-2.457988e+01,-1.459690e+01,-1.937800e+01,-4.496575e+00,9.229184e+00,1.323683e+01,1.525133e+01
6,0.060000,-2.681161e+01,9.094792e+00,-1.415281e+01,9.935528e+00,-2.210443e+01,-1.367184e+00,-1.743336e+01,-5.082879e+00,-1.893151e+01,-1.587031e+01,-1.485333e+00,1.228047e+01,1.504519e+01
7,0.070000,-2.432669e+01,1.373563e+01,-7.708863e+00,1.524869e+01,-1.345778e+01,-3.887511e+00,-1.592073e+01,-1.722232e+00,-4.904349e-01,-1.630037e+01,2.894217e+00,1.506592e+01,1.481002e+01
8,0.080000,-2.175314e+01,1.561262e+01,-1.424004e+01,4.999775e+00,-1.769419e+01,7.576583e-01,-3.793829e+00,-3.423579e+00,5.477960e-01,-1.197232e+00,3.533614e+00,1.699689e+01,1.482621e+01
9,0.090000,-2.258236e+01,1.131333e+01,-1.473091e+01,4.221240e+00,-2.389027e+01,-2.215879e+00,-2.100883e+01,-1.455593e+01,-2.451255e+01,-1.166912e+01,-4.847903e+00,2.113910e+01,1.474456e+01
10,0.100000,-2.235231e+01,9.949215e+00,-3.251757e+00,1.319441e+01,-1.385409e+01,-9.756325e+00,-3.490763e+01,-1.558706e+01,-1.604692e+01,-1.250550e+01,-4.478745e+00,2.600586e+01,1.466321e+01
