frameIndex,frameTime,pcm_fftMag_mfcc[1],pcm_fftMag_mfcc[2],pcm_fftMag_mfcc[3],pcm_fftMag_mfcc[4],pcm_fftMag_mfcc[5],pcm_fftMag_mfcc[6],pcm_fftMag_mfcc[7],pcm_fftMag_mfcc[8],pcm_fftMag_mfcc[9],pcm_fftMag_mfcc[10],pcm_fftMag_mfcc[11],pcm_fftMag_mfcc[12],pcm_LOGenergy
38,0.380000,-2.557253e+01,-2.606875e+01,8.058337e+00,4.022604e+00,2.435665e+01,-2.071244e+01,-4.000069e+00,-1.739316e+01,1.247244e+01,-2.253353e+00,-1.964608e+01,-9.916306e+00,1.749041e+01
39,0.390000,-2.687922e+01,-2.670412e+01,8.264671e+00,1.259649e+01,3.171412e+01,-2.177028e+01,-2.139377e+00,-1.425376e+01,5.690978e+00,3.420383e+00,-1.001145e+01,-5.002516e+00,1.749937e+01
40,0.400000,-2.862914e+01,-2.927944e+01,4.328635e+00,1.020156e+00,3.016299e+01,-2.672808e+01,-9.398386e+00,-2.301497e+01,1.229770e+00,1.094156e+00,-6.433583e+00,1.597584e+00,1.743267e+01
41,0.410000,-2.823708e+01,-2.623278e+01,9.675006e+00,4.053976e+00,2.453969e+01,-1.235230e+01,-1.967481e+01,-2.498794e+01,4.382524e+00,2.469393e+00,3.265943e+00,5.381939e+00,1.775621e+01
42,0.420000,-3.144733e+01,-2.276132e+01,1.010447e+00,-2.895733e+00,3.206176e+01,-1.701199e+01,-8.723263e+00,-1.844586e+01,2.270794e+01,1.088240e+01,-1.286198e+01,-1.519002e+01,1.785080e+01
43,0.430000,-3.399667e+01,-1.953334e+01,1.242526e+01,-5.796986e+00,2.002033e+01,-2.098644e+01,-1.498744e+01,-2.307654e+01,7.308198e+00,-1.723292e+01,-1.132611e+01,-3.457211e+00,1.829536e+01
44,0.440000,-3.512721e+01,-2.614922e+01,9.709490e+00,2.400068e+00,2.726717e+01,-3.485367e+01,-2.187037e+01,-2.632698e+01,1.175987e+01,-1.359087e+00,-8.408170e+00,-4.675721e+00,1.867440e+01
45,0.450000,-3.897897e+01,-2.356209e+01,3.269815e+00,9.642642e+00,3.171586e+01,-2.138826e+01,-1.917756e+01,-1.317131e+01,1.507642e+01,4.859389e+00,-6.612233e+00,6.225353e+00,1.907703e+01
46,0.460000,-4.006050e+01,-2.625201e+01,2.700610e+00,7.022377e+00,3.046273e+01,-1.929924e+01,-1.372716e+01,-1.665466e+01,-1.830508e+00,1.731885e+00,-1.308249e+01,-6.693015e+00,1.905455e+01
47,0.470000,-3.846022e+01,-1.755247e+01,6.884830e+00,5.045691e+00,1.978969e+01,-4.938330e+00,-8.578057e+00,-1.862926e+01,1.227919e+01,2.617252e+00,-3.615764e+00,-4.181018e+00,1.913383e+01
