frameIndex,frameTime,pcm_fftMag_mfcc[1],pcm_fftMag_mfcc[2],pcm_fftMag_mfcc[3],pcm_fftMag_mfcc[4],pcm_fftMag_mfcc[5],pcm_fftMag_mfcc[6],pcm_fftMag_mfcc[7],pcm_fftMag_mfcc[8],pcm_fftMag_mfcc[9],pcm_fftMag_mfcc[10],pcm_fftMag_mfcc[11],pcm_fftMag_mfcc[12],pcm_LOGenergy
64,0.640000,-4.517038e+00,-2.633155e+01,-6.261500e+00,-4.144072e+01,-1.856175e+01,-3.601200e+01,-2.490103e+01,-2.950299e+00,-1.267626e+01,-4.901653e+01,-3.160105e+01,1.152038e+01,2.153185e+01
65,0.650000,-8.259245e+00,-3.321839e+01,-3.382433e-01,-3.955239e+01,-1.074557e+01,-3.388977e+01,3.585685e+00,-7.989654e+00,2.463274e+00,-4.309876e+01,-2.607062e+01,3.429458e+00,2.249679e+01
66,0.660000,-2.302651e+01,-3.248502e+01,1.195148e+00,-3.614380e+01,-7.337184e+00,-4.395729e+01,1.126560e+00,-1.484049e+01,9.377832e+00,-4.768308e+01,-2.894895e+01,-2.654850e+00,2.311481e+01
67,0.670000,-2.761977e+01,-3.085956e+01,-7.335971e+00,-3.695845e+01,-7.877526e+00,-4.610538e+01,-2.763252e+00,-1.476145e+01,2.445256e+01,-4.245321e+01,-3.168502e+01,-7.658611e+00,2.384796e+01
68,0.680000,-2.990137e+01,-3.056575e+01,-8.733369e+00,-4.140451e+01,-4.951457e+00,-5.557516e+01,-5.951885e+00,-1.680635e+01,3.968837e+01,-5.057615e+01,-3.119072e+01,-1.811465e+01,2.431256e+01
69,0.690000,-2.705916e+01,-2.524830e+01,-6.470814e+00,-3.886046e+01,9.120672e+00,-5.079310e+01,-1.383592e+01,-7.620600e+00,4.850381e+01,-5.054462e+01,-2.071920e+01,-9.343604e+00,2.435365e+01
70,0.700000,-2.697992e+01,-2.643546e+01,-8.098711e+00,-5.301382e+01,1.079796e+01,-4.855780e+01,-1.682161e+01,-1.599613e+01,4.631337e+01,-5.239764e+01,-1.292300e+01,-8.566216e+00,2.411145e+01
71,0.710000,-2.471218e+01,-3.036049e+01,-1.969343e+01,-6.333575e+01,8.367958e+00,-4.150671e+01,-2.142508e+01,-3.247501e+01,3.316690e+01,-5.495800e+01,-2.096357e+01,-9.221478e+00,2.367318e+01
72,0.720000,-1.970930e+01,-1.996178e+01,-1.662491e+01,-5.424012e+01,6.218206e+00,-4.366192e+01,-2.638443e+01,-2.647358e+01,2.839884e+01,-3.486978e+01,-1.290660e+01,-6.590617e+00,2.351178e+01
73,0.730000,-1.221640e+01,-2.017485e+01,-2.665365e+01,-6.071912e+01,6.099278e+00,-4.986277e+01,-3.007791e+01,-2.761551e+01,1.668092e+01,-3.803513e+01,-1.397679e+01,-2.801829e+00,2.320993e+01
74,0.740000,-8.904740e+00,-1.335946e+01,-1.116705e+01,-4.805414e+01,1.329000e+01,-3.783933e+01,-2.779780e+01,-4.759534e+01,2.292634e+01,-3.001187e+01,-1.136267e+01,-3.950348e-01,2.303570e+01
75,0.750000,-8.642582e+00,-1.235816e+01,-1.603852e+01,-5.160270e+01,1.493517e+01,-5.020429e+01,-2.730493e+01,-5.785545e+01,2.063967e+01,-3.765751e+01,-6.536412e+00,-7.100765e+00,2.294822e+01
76,0.760000,-7.879744e+00,-1.654346e+01,-1.336942e+01,-5.215049e+01,1.270169e+01,-5.141154e+01,-2.427985e+01,-5.342643e+01,2.090465e+01,-3.584718e+01,-2.637255e+00,-8.631012e+00,2.285431e+01
77,0.770000,-4.767190e+00,-1.784949e+01,-1.070716e+01,-5.424873e+01,1.851423e+01,-4.792280e+01,-2.465712e+01,-4.311506e+01,1.345972e+01,-3.826805e+01,-3.940311e+00,-9.742368e+00,2.289942e+01
78,0.780000,-8.883653e+00,-1.667620e+01,-1.872275e+01,-5.394819e+01,1.674036e+01,-4.094912e+01,-3.207358e+01,-3.064147e+01,1.536390e+01,-4.178962e+01,-4.102558e+00,-4.222100e+00,2.316654e+01
79,0.790000,-9.891428e+00,-1.973044e+01,-2.060560e+01,-5.573721e+01,1.102672e+01,-4.381612e+01,-3.131071e+01,-1.926735e+01,1.230016e+01,-4.882555e+01,-8.340751e+00,1.716924e+00,2.342175e+01
80,0.800000,-1.232875e+01,-2.905452e+01,-2.219349e+01,-6.394905e+01,3.407372e+00,-5.752719e+01,-3.128244e+01,-2.369911e+01,1.422664e+01,-5.525039e+01,-1.464228e+01,-3.180500e+00,2.367082e+01
81,0.810000,-1.377639e+01,-3.052366e+01,-1.423028e+01,-6.055674e+01,6.669731e+00,-6.180667e+01,-1.532925e+01,-1.987315e+01,1.990809e+01,-6.099534e+01,-1.165702e+01,-2.861305e+00,2.375038e+01
82,0.820000,-1.408636e+01,-2.873576e+01,-9.398544e+00,-5.588454e+01,1.069054e+01,-6.019587e+01,-5.662035e-01,-1.869407e+01,2.690442e+01,-6.606466e+01,-1.241605e+01,-9.672178e+00,2.359258e+01
83,0.830000,-1.630805e+01,-2.536151e+01,-3.678200e+00,-5.311766e+01,8.120291e+00,-5.838737e+01,9.739210e+00,-1.402877e+01,3.340052e+01,-5.801859e+01,-1.479035e+01,-1.439523e+01,2.333705e+01
84,0.840000,-1.558928e+01,-2.215392e+01,-3.285446e+00,-5.592803e+01,1.317082e+01,-5.325517e+01,-3.113542e-01,-1.850102e+01,4.014654e+01,-5.165640e+01,-1.704766e+01,-2.197080e+01,2.301709e+01
85,0.850000,-1.581202e+01,-2.361748e+01,-2.171011e+00,-5.575373e+01,1.062141e+01,-5.033398e+01,3.581549e-01,-2.750917e+01,2.816515e+01,-5.649686e+01,-1.795102e+00,-2.301571e+01,2.292424e+01
86,0.860000,-1.841669e+01,-2.978379e+01,-1.916688e+00,-4.412837e+01,1.029157e+01,-7.125711e+01,-1.254749e+01,-2.415964e+01,3.734512e+01,-4.979140e+01,-2.181117e+01,-2.715134e+01,2.302421e+01
87,0.870000,-1.875642e+01,-3.460679e+01,-3.469032e+00,-4.111169e+01,8.341006e+00,-6.751698e+01,-3.169447e+00,-2.782164e+01,4.106797e+01,-4.508247e+01,-2.448892e+01,-3.032918e+01,2.316403e+01
88,0.880000,-2.019338e+01,-3.306160e+01,-4.967540e+00,-3.839948e+01,1.370096e+01,-5.955742e+01,-1.100453e+00,-2.155985e+01,3.750773e+01,-4.250278e+01,-1.788046e+01,-2.159799e+01,2.316790e+01
89,0.890000,-1.852669e+01,-3.337185e+01,-7.587551e-01,-4.219027e+01,1.391033e+01,-5.863430e+01,3.653828e+00,-3.151777e+01,3.314058e+01,-5.258458e+01,-1.659690e+01,-1.913645e+01,2.295540e+01
