frameIndex,frameTime,pcm_fftMag_mfcc[1],pcm_fftMag_mfcc[2],pcm_fftMag_mfcc[3],pcm_fftMag_mfcc[4],pcm_fftMag_mfcc[5],pcm_fftMag_mfcc[6],pcm_fftMag_mfcc[7],pcm_fftMag_mfcc[8],pcm_fftMag_mfcc[9],pcm_fftMag_mfcc[10],pcm_fftMag_mfcc[11],pcm_fftMag_mfcc[12],pcm_LOGenergy
0,0.000000,-1.813385e+01,-5.486346e+00,1.071501e+01,-2.897006e+01,-1.076159e+01,-1.529497e+01,-2.018042e+01,-5.284178e+00,2.465576e+01,1.011998e+01,-3.774138e+01,-4.682340e+00,1.663455e+01
1,0.010000,-1.687877e+01,-1.208369e+01,3.620109e+00,-3.492287e+01,-9.323571e+00,-1.378425e+01,-1.438458e+01,-7.952016e+00,2.464748e+01,1.134445e+01,-3.176951e+01,9.205992e+00,1.692846e+01
2,0.020000,-1.903230e+01,-1.882583e+01,-3.341206e+00,-4.092610e+01,-1.074479e+00,-1.341537e+01,-1.516086e+01,-6.223529e+00,1.073125e+01,3.627439e+00,-3.115816e+01,7.122651e+00,1.721180e+01
3,0.030000,-1.880000e+01,-1.291350e+01,2.920982e+00,-3.986425e+01,-1.707497e+01,-3.505685e+01,-1.504645e+01,1.087407e+00,-1.200696e+01,-2.400867e+00,-2.967626e+01,-5.961925e+00,1.743295e+01
4,0.040000,-1.657258e+01,-1.592042e+01,1.485305e+01,-3.600216e+01,-1.204641e+01,-2.813971e+01,4.096531e-01,1.354549e+01,-2.431590e+01,-1.498347e+01,-1.747082e+01,3.447378e+00,1.765673e+01
5,0.050000,-1.876427e+01,-1.098549e+01,1.789821e+01,-3.845145e+01,-1.918704e+01,-2.583183e+01,4.419005e-01,1.848691e+01,-7.138875e+00,-2.191430e+00,-7.474332e+00,-3.677090e+00,1.762696e+01
6,0.060000,-1.652265e+01,-1.052580e+01,2.070641e+01,-3.200649e+01,-1.298758e+01,-6.794663e+00,-2.830646e+00,1.445740e+01,-2.569102e+01,-2.132328e+01,-1.027543e+01,-5.520444e+00,1.723083e+01
7,0.070000,-1.588308e+01,-7.361253e+00,1.664395e+01,-3.303440e+01,-1.130116e+01,-2.289731e+01,-1.098308e+01,2.664273e+00,-2.601278e+01,-3.114779e+01,-1.434490e+01,9.154926e+00,1.729466e+01
8,0.080000,-1.047499e+01,-2.129177e+00,1.970351e+01,-2.841990e+01,-1.033551e+01,-7.164097e+00,-1.338469e+01,-6.338700e+00,-1.630702e+01,-3.001104e+01,-1.333502e+01,3.096849e+00,1.729860e+01
9,0.090000,-9.569176e+00,-2.864743e+00,1.865607e+01,-2.030019e+01,-8.558525e+00,-1.055543e+01,-9.716759e+00,8.238881e+00,-1.964871e+01,-3.392476e+01,-2.259820e+01,5.380741e+00,1.722235e+01
10,0.100000,-9.388057e+00,-4.219784e+00,9.222124e+00,-2.556331e+01,-2.114837e+01,-2.416673e+01,-1.414597e+01,1.620745e+00,-3.293799e+01,-4.194491e+01,-2.971089e+01,-7.505208e+00,1.716736e+01
11,0.110000,-1.134493e+01,1.594447e-01,1.102451e+01,-1.898820e+01,-1.513116e+01,-1.501939e+01,-2.105780e+01,-1.000724e+01,-2.549849e+01,-2.954539e+01,-1.521610e+01,-7.811090e+00,1.690016e+01
12,0.120000,-1.438798e+01,1.317302e+00,5.122931e+00,-1.494189e+01,-1.479373e+01,-7.643789e+00,-1.389947e+01,-4.335985e-01,-8.422103e+00,-3.123334e+01,-2.306718e+01,-1.084518e+01,1.618155e+01
13,0.130000,-1.275940e+01,2.854220e-01,6.283208e+00,-1.143114e+01,-8.114183e+00,-7.613534e-02,-8.642763e+00,-6.236640e+00,-1.623503e+01,-1.563308e+01,-1.172753e+01,-3.832518e+00,1.573372e+01
14,0.140000,-1.184890e+01,-1.976309e+00,2.173337e+00,-2.653943e+00,6.971971e-01,-2.775034e+00,-9.133697e+00,-6.008102e+00,-2.950387e+01,-2.690159e+01,-4.196870e+00,-4.161630e+00,1.554358e+01
15,0.150000,-1.333293e+01,-6.634799e+00,-5.005487e+00,-2.110209e+00,9.479466e+00,3.342528e+00,-7.348815e+00,-5.076026e+00,-2.672796e+01,-2.178896e+01,4.000646e+00,-9.765580e-01,1.562112e+01
16,0.160000,-1.279238e+01,-2.004888e+01,-1.517766e+01,4.768633e+00,1.611350e+01,-4.846052e+00,-1.868133e+01,-2.231789e-01,-5.957316e+00,-2.910182e+01,-2.436794e+01,-8.344224e+00,1.645768e+01
17,0.170000,-1.362669e+01,-2.839338e+01,-7.807380e+00,3.481457e+00,1.945893e+01,-1.954250e+01,-5.623315e+01,6.655660e-01,-2.464252e+00,-2.372070e+01,-1.795194e+01,-1.194232e+01,1.735307e+01
18,0.180000,-1.546556e+01,-3.705822e+01,-1.096768e+01,-2.896167e-01,3.297057e+01,-2.328790e+00,-4.177250e+01,1.745893e+01,3.720748e+00,-1.149496e+01,2.093996e-01,-7.064073e+00,1.787913e+01
19,0.190000,-1.246704e+01,-3.496664e+01,-2.503766e+01,-1.649276e+01,3.016338e+01,7.696081e+00,-4.335019e+01,5.809720e+00,-1.724108e+01,-1.343652e+01,-6.651937e+00,-5.710287e+00,1.804910e+01
20,0.200000,-1.210403e+01,-3.330199e+01,-1.333872e+01,-1.826542e+01,2.598839e+01,1.855461e+01,-4.182280e+01,-5.009961e-01,-1.916066e+01,-7.362361e+00,-1.492764e+00,-8.449819e+00,1.800940e+01
21,0.210000,-1.221402e+01,-3.455249e+01,-8.834850e+00,-2.339690e+01,2.001153e+01,1.341801e+01,-4.287528e+01,3.292600e+00,-7.745142e+00,-3.034890e+01,-8.984769e+00,-1.830495e+01,1.769623e+01
22,0.220000,-9.732496e+00,-3.256002e+01,-1.037793e+01,-2.039508e+01,2.125484e+01,9.250612e+00,-3.455129e+01,1.622121e+01,1.030545e+01,-2.415106e+01,-1.703266e+01,-1.502912e+01,1.768357e+01
23,0.230000,-9.365255e+00,-3.022649e+01,-2.227749e+01,-1.487317e+01,2.043710e+01,-2.032287e+00,-4.029162e+01,1.605111e+01,-3.512898e+00,-3.300235e+01,-1.181406e+01,-1.104298e+01,1.751078e+01
24,0.240000,-7.100771e+00,-2.942529e+01,-2.152012e+01,-1.027246e+01,1.502928e+01,4.101366e+00,-2.955452e+01,1.321457e+01,1.705578e+00,-2.266784e+01,-2.110444e+01,-1.528166e+01,1.717968e+01
25,0.250000,-8.754089e+00,-2.403260e+01,-2.101619e+01,-1.296846e+01,1.690855e+01,1.288336e+01,-2.923123e+01,-5.892276e+00,-2.501638e+00,-1.408424e+01,-1.071826e+01,-7.848599e+00,1.663320e+01
26,0.260000,-1.250140e+01,-2.400745e+01,-2.335602e+01,-1.021893e+01,1.496151e+01,1.388894e+01,-1.183631e+01,-2.467969e+00,3.116416e+00,-1.103282e+01,1.071003e+00,-9.533067e+00,1.623212e+01
27,0.270000,-1.241824e+01,-2.288648e+01,-1.896575e+01,-4.927496e+00,2.125695e+01,1.989164e+01,-2.415809e+01,2.321975e+00,6.873801e-01,-1.085381e+01,-5.410901e+00,1.342818e-01,1.610718e+01
28,0.280000,-1.336261e+01,-1.985758e+01,-1.806900e+01,-7.391294e-01,2.279843e+01,8.569345e-01,-4.128930e+01,-4.235293e+00,5.281189e+00,-2.228513e+01,-2.008900e+01,1.005486e+00,1.577864e+01
29,0.290000,-1.715143e+01,-1.613238e+01,-1.167605e+01,1.250288e+01,3.154228e+01,-6.290650e+00,-3.562497e+01,-4.595658e+00,8.826818e+00,-4.126447e+00,-1.459446e+01,-6.825517e+00,1.560481e+01
30,0.300000,-1.868650e+01,-1.537497e+01,-1.415677e+01,5.529734e+00,2.579568e+01,-8.151371e+00,-3.690484e+01,-2.230371e+00,7.768200e+00,-9.370551e+00,-1.845800e+01,1.481128e+01,1.536056e+01
31,0.310000,-1.883035e+01,-1.172918e+01,-1.414647e+01,1.963647e+00,3.243262e+01,-5.585393e-01,-2.053366e+01,4.980181e-01,-6.546471e+00,-1.841052e+01,-1.477624e+01,2.233021e+01,1.515107e+01
32,0.320000,-2.105105e+01,-1.067506e+01,-1.288747e+01,-2.486623e-01,2.892141e+01,-9.369078e-01,-1.602133e+01,1.093689e+00,-1.143748e+01,-1.258517e+01,-9.493183e+00,1.900843e+00,1.474185e+01
33,0.330000,-1.793992e+01,-3.990068e+00,-7.255495e+00,8.203215e-01,2.712786e+01,2.351608e+00,-1.877929e+01,1.302940e+01,-4.437205e+00,-6.341040e-01,-7.085730e+00,-5.465948e+00,1.443468e+01
34,0.340000,-2.221224e+01,-1.950112e+00,-3.258265e+00,7.630270e+00,1.613818e+01,-4.813841e-01,-2.268895e+01,-3.506702e+00,-1.588177e+01,-6.627048e+00,-1.920413e+01,-8.145871e+00,1.441743e+01
35,0.350000,-1.823798e+01,5.978365e+00,2.457436e+00,3.973640e+00,3.009655e+00,-4.618604e+00,-2.166269e+01,-8.031020e+00,-1.762988e+01,-1.885937e+01,-9.753887e+00,5.870970e+00,1.428192e+01
36,0.360000,-1.517272e+01,-8.180065e-01,-6.950433e+00,-2.541150e+00,-6.254443e+00,-9.685944e+00,-8.515626e+00,-9.688582e+00,-4.938394e+00,-6.898026e+00,-3.899658e+00,-7.151978e+00,1.442497e+01
37,0.370000,-1.273124e+01,9.306872e-01,-6.827883e+00,-1.258483e+01,-1.481623e+01,-2.147540e+01,-1.625019e+01,-3.825511e+00,-1.104004e+01,-9.329247e+00,-4.220076e+00,-4.257311e+00,1.460493e+01
38,0.380000,-1.102667e+01,-1.878935e+00,-1.556170e+00,-1.315303e+01,-2.549834e+00,-1.590717e+01,-1.598491e+01,-5.864731e+00,-6.945496e+00,-3.099541e+00,-1.851193e+00,-7.208090e+00,1.490604e+01
39,0.390000,-9.149728e+00,8.544663e-01,-3.898377e-01,-2.253979e+01,-7.833587e+00,-9.679164e+00,-7.319926e+00,-4.289774e+00,-3.602361e+00,-6.433048e+00,-1.661697e+01,-3.973245e+00,1.501846e+01
40,0.400000,-1.128973e+01,6.172048e-01,-2.002681e+00,-2.385019e+01,-5.143843e+00,-1.010781e+01,-2.334484e+00,-1.174355e+00,-3.206512e+00,6.768669e+00,-1.229378e+01,-7.226290e+00,1.505286e+01
41,0.410000,-1.395405e+01,-3.279324e+00,-1.119315e+00,-2.389889e+01,-1.957613e+00,-1.140540e+01,-2.972133e+00,1.128457e+01,8.466720e+00,1.139007e+01,-3.196635e+00,-8.114110e+00,1.478633e+01
42,0.420000,-1.136142e+01,-2.085885e+00,-1.447404e+00,-3.203507e+01,-2.478123e+00,-6.242957e+00,-6.145654e+00,7.963183e+00,-9.961020e+00,-4.241378e+00,-2.071334e+00,-1.282139e+01,1.520747e+01
43,0.430000,-8.523380e+00,-1.825617e+00,1.152234e+00,-2.320378e+01,-8.293550e+00,-1.625763e+01,-1.506442e+01,-4.670662e+00,-1.352695e+01,-1.049378e+01,-1.767906e+01,-5.842513e+00,1.528110e+01
44,0.440000,-1.274871e+01,-1.510095e-01,1.300095e+00,-1.942396e+01,-5.653594e+00,-1.967356e+01,-1.176565e+01,-2.392132e-01,-9.356171e+00,-1.466854e+01,-1.315767e+01,-4.015217e-01,1.512035e+01
