frameIndex,frameTime,pcm_fftMag_mfcc[1],pcm_fftMag_mfcc[2],pcm_fftMag_mfcc[3],pcm_fftMag_mfcc[4],pcm_fftMag_mfcc[5],pcm_fftMag_mfcc[6],pcm_fftMag_mfcc[7],pcm_fftMag_mfcc[8],pcm_fftMag_mfcc[9],pcm_fftMag_mfcc[10],pcm_fftMag_mfcc[11],pcm_fftMag_mfcc[12],pcm_LOGenergy
0,0.000000,-1.741092e+01,-2.226464e+00,2.335109e+00,1.112706e+01,1.583723e+00,3.460688e-01,-8.128410e+00,-9.891340e+00,-7.068950e+00,-8.586859e+00,-4.122449e-01,-1.019588e+01,1.294211e+01
1,0.010000,-1.967977e+01,-5.350986e+00,2.859834e+00,1.126225e+01,4.399740e+00,-4.869540e+00,-1.106480e+01,-3.342132e+00,-1.115924e+01,2.559191e+00,-1.170366e+01,-8.866377e+00,1.243107e+01
2,0.020000,-2.321642e+01,-6.295455e+00,5.300672e+00,3.495664e+00,2.760021e+00,2.073784e+00,-3.789886e+00,3.825295e+00,2.177813e+00,2.741830e+00,-1.797371e+00,3.575315e-01,1.191684e+01
3,0.030000,-2.056297e+01,3.172272e-01,4.595825e+00,4.941894e+00,4.100254e+00,-3.814994e-01,-1.421288e+00,-1.895258e+00,-2.712456e+00,-5.867394e+00,-1.164238e+01,-6.193161e+00,1.212172e+01
4,0.040000,-1.676564e+01,2.556439e+00,4.367621e+00,7.312581e+00,7.547931e-01,3.813107e+00,-1.252406e+01,-1.296387e+01,-6.986757e+00,1.970586e+00,-1.051259e+01,-5.161362e+00,1.219445e+01
5,0.050000,-1.883106e+01,1.821436e+00,1.537097e+00,-2.862087e+00,-6.053553e+00,3.007084e-01,-1.779686e+01,-3.394660e+00,-2.102457e-01,8.189918e-01,-5.486646e+00,1.274387e+00,1.221508e+01
6,0.060000,-1.894041e+01,1.648327e+00,7.903221e+00,7.907158e+00,5.748729e-01,9.146340e+00,-1.207024e+01,-4.774146e+00,-8.327118e+00,4.329154e-01,-5.551698e+00,2.668380e+00,1.197318e+01
7,0.070000,-1.998729e+01,-1.462852e+00,4.492940e+00,6.935088e+00,3.210345e+00,3.482191e+00,-1.920725e+01,-1.476198e+01,2.746908e+00,4.018566e+00,-1.069791e+00,-1.870685e+00,1.180684e+01
8,0.080000,-2.202549e+01,-2.120447e+00,5.208244e+00,5.123726e+00,3.346322e+00,5.873792e+00,6.845510e+00,9.846099e+00,6.788682e+00,9.236222e+00,2.149364e+00,9.463371e-01,1.180680e+01
9,0.090000,-2.056577e+01,-4.041048e-01,8.007905e+00,3.399956e+00,3.667038e+00,-1.015356e+00,-8.422629e+00,-6.266372e+00,9.048721e-01,3.494353e+00,2.804751e+00,-3.762831e+00,1.196148e+01
