frameIndex,frameTime,pcm_fftMag_mfcc[1],pcm_fftMag_mfcc[2],pcm_fftMag_mfcc[3],pcm_fftMag_mfcc[4],pcm_fftMag_mfcc[5],pcm_fftMag_mfcc[6],pcm_fftMag_mfcc[7],pcm_fftMag_mfcc[8],pcm_fftMag_mfcc[9],pcm_fftMag_mfcc[10],pcm_fftMag_mfcc[11],pcm_fftMag_mfcc[12],pcm_LOGenergy
0,0.000000,-1.773821e+01,-7.963524e+00,9.516442e+00,7.358440e+00,1.509484e+01,-1.218943e+01,-1.660533e+01,9.753683e+00,-1.131374e+01,-5.636532e+00,-2.469410e+00,-4.989316e+00,1.301119e+01
1,0.010000,-1.823951e+01,-1.081849e+01,3.434017e+00,3.304060e+00,3.384461e+00,-2.020033e+01,-2.416660e+01,-2.379367e+00,-3.612447e-01,-3.303789e+00,1.573727e+00,1.043282e+01,1.280606e+01
2,0.020000,-2.025769e+01,4.788106e+00,-2.585514e+00,1.983890e+01,-2.369740e+00,-8.477683e-01,-3.367603e+01,1.472944e+01,-9.998274e+00,-1.782192e+00,-1.538517e+01,-1.755323e+00,1.402821e+01
3,0.030000,-2.921296e+01,8.494924e+00,-1.920441e+01,1.665834e+01,-2.759990e+00,5.845234e+00,-3.291880e+01,7.090656e+00,-1.110396e+01,1.333786e+01,-1.118523e+01,8.673446e+00,1.405470e+01
4,0.040000,-1.877078e+01,-3.249965e+00,-1.344380e+01,1.515303e+00,-8.203168e+00,2.065461e-01,-3.185990e+01,3.836497e+00,-8.162494e-01,3.668093e+00,-2.100181e+01,-7.221941e+00,1.405453e+01
5,0.050000,-1.695501e+01,-5.672648e+00,-1.386359e+01,-1.682323e+00,-4.234048e+00,-7.530875e+00,-3.198113e+01,-9.197074e-01,-8.749186e+00,1.608813e+00,-2.033680e+01,-1.113977e+01,1.272526e+01
6,0.060000,-1.344829e+01,-1.393465e+00,-6.995447e+00,-3.078484e-01,2.556708e+00,9.172600e-02,-1.237095e+01,-9.789822e+00,-2.243561e+00,8.958442e-01,-1.773141e+01,-1.305166e+01,1.250435e+01
7,0.070000,-1.367291e+01,-4.060306e+00,-3.608537e+00,-4.415839e-01,1.868639e+00,-3.649020e+00,-9.534844e+00,1.115211e+00,-1.266711e+01,-1.487927e+01,-1.513902e+01,-2.509229e+00,1.248105e+01
8,0.080000,-1.911410e+01,5.740591e+00,-1.116701e+01,8.079354e+00,3.889262e+00,2.600972e+00,-1.019827e+01,1.186230e+01,-6.243862e+00,-1.384136e+01,-1.270582e+01,-7.319861e-01,1.520567e+01
9,0.090000,-4.391731e+01,1.046364e+01,-1.066729e+01,5.150136e+00,-9.400580e+00,8.775249e+00,8.337072e+00,-1.666036e+00,-2.706647e+01,4.985631e+00,-1.097015e+01,1.097875e+00,1.604489e+01
10,0.100000,-3.950874e+01,4.283208e+00,-1.544755e+01,4.939065e+00,-1.159501e+01,-2.073802e+00,-3.016279e+00,-1.691345e-02,-2.284484e+01,7.546038e+00,-1.371539e+01,-1.307551e+00,1.604902e+01
11,0.110000,-2.131069e+01,8.483362e-01,-1.123034e+01,7.506023e+00,1.108918e+00,2.092082e+00,-9.246226e+00,2.556353e+01,-3.328783e+00,8.673569e+00,-2.147955e+01,-9.070191e+00,1.311960e+01
12,0.120000,-1.379770e+01,5.384086e+00,-1.217098e+01,8.516776e+00,2.128593e+00,4.357384e+00,-5.357491e+00,2.922976e+01,-2.671323e+00,1.240605e+01,-1.202392e+01,-7.036349e+00,1.303777e+01
13,0.130000,-1.017635e+01,4.519207e+00,-4.429930e+00,6.121300e+00,3.227205e+00,5.799814e+00,-8.981038e+00,1.759609e+01,9.073864e+00,1.549716e+01,-7.418691e+00,-1.177841e+01,1.326556e+01
14,0.140000,-9.556309e+00,5.803616e+00,3.220440e+00,7.200477e+00,5.513803e+00,-3.393990e+00,-7.673541e+00,1.327886e+01,1.118743e+01,8.799527e+00,-9.702613e+00,-6.786391e+00,1.394527e+01
15,0.150000,-8.615904e+00,3.885360e+00,1.121781e+01,1.508633e+01,8.068894e+00,3.025187e+00,8.605097e+00,2.028483e+01,-1.476551e+01,-7.887546e+00,3.245232e+00,-2.841738e+00,1.419965e+01
16,0.160000,-9.001866e+00,6.108097e+00,5.377774e+00,1.858294e+01,1.043897e+01,1.900883e+00,2.257372e+00,5.434282e+00,-9.414940e-01,-4.436901e+00,-2.233882e+00,-1.209579e+01,1.398120e+01
17,0.170000,-1.281557e+01,-1.842431e+00,1.612495e+00,1.164853e+01,8.166893e+00,-9.669954e-01,-9.593993e-01,4.052724e+00,5.727670e+00,-2.880065e+00,-6.184610e-01,-1.183375e+00,1.313146e+01
18,0.180000,-1.127076e+01,4.514347e+00,2.226337e+00,1.038758e+01,6.201420e-01,-1.248950e+01,5.749746e-03,8.365558e+00,6.566180e+00,3.146691e+00,-4.902886e+00,-3.973475e+00,1.265109e+01
19,0.190000,-1.417386e+01,5.438304e+00,9.528534e+00,6.550534e+00,3.032949e+00,-1.410592e+01,-7.176179e+00,7.741888e+00,5.377852e+00,2.290951e-01,5.035964e-01,-2.085319e+00,1.271260e+01
20,0.200000,-1.273904e+01,4.672078e+00,4.630636e+00,1.082814e+01,4.953234e+00,-1.074884e+01,-1.180330e+01,3.842162e+00,-1.214211e+00,2.455451e+00,5.856448e-01,6.025372e-01,1.242419e+01
21,0.210000,-1.519234e+01,9.503840e-01,1.403078e+00,4.403229e+00,1.833353e+00,-1.136131e+01,-1.326250e+01,4.355222e+00,5.869320e+00,-1.387963e+00,-6.346256e+00,4.239355e+00,1.213506e+01
22,0.220000,-1.212804e+01,6.303134e+00,5.173389e+00,6.282948e-01,-3.065509e+00,-1.153259e+01,-2.197567e+01,-1.184689e+01,-3.359687e+00,3.540277e+00,1.785869e+00,1.882417e+00,1.212278e+01
