frameIndex,frameTime,pcm_fftMag_mfcc[1],pcm_fftMag_mfcc[2],pcm_fftMag_mfcc[3],pcm_fftMag_mfcc[4],pcm_fftMag_mfcc[5],pcm_fftMag_mfcc[6],pcm_fftMag_mfcc[7],pcm_fftMag_mfcc[8],pcm_fftMag_mfcc[9],pcm_fftMag_mfcc[10],pcm_fftMag_mfcc[11],pcm_fftMag_mfcc[12],pcm_LOGenergy
0,0.000000,-4.683871e+01,1.837612e+01,5.872219e+00,-7.094787e+00,-6.571494e+00,2.480198e+00,-1.455006e+00,-1.438218e+01,1.236032e+01,1.431457e+01,-1.934634e+01,-7.587689e+00,1.777147e+01
1,0.010000,-4.714175e+01,2.153626e+01,1.250352e+01,-7.615562e+00,-1.085393e-01,6.774303e+00,4.942048e+00,-1.499710e+01,4.318286e+00,6.851275e+00,-1.016280e+01,-1.023512e+01,1.777244e+01
2,0.020000,-4.892093e+01,2.159258e+01,2.156243e+00,-6.767116e+00,9.188974e-01,2.642924e+00,2.591009e+00,-6.481856e+00,9.466254e+00,7.339375e+00,-3.307586e+00,-5.248805e+00,1.778002e+01
3,0.030000,-4.929477e+01,1.537067e+01,2.193128e+00,-1.370669e+01,3.954647e-01,9.348484e-01,-1.504034e+01,-2.753312e+01,-1.452582e+00,8.533287e-02,-1.987138e+01,1.107493e+01,1.775447e+01
4,0.040000,-4.544180e+01,1.839363e+01,8.524236e+00,-4.832292e+00,4.126771e+00,3.626660e+00,-5.035140e+00,-1.595986e+01,9.472079e+00,5.207412e+00,-1.324099e+01,7.606562e+00,1.756857e+01
5,0.050000,-4.372938e+01,1.943538e+01,6.725956e+00,-4.426934e+00,-2.130310e+00,3.553887e+00,-2.022338e+00,-7.627645e+00,6.381209e-01,-4.818946e+00,-1.113981e+01,-1.176586e+00,1.745210e+01
6,0.060000,-4.267616e+01,1.574703e+01,6.740258e+00,-8.579327e+00,-7.507919e-01,8.488828e+00,-8.763015e+00,-1.225525e+01,4.039332e+00,5.891873e+00,-8.481766e+00,5.319007e+00,1.754935e+01
7,0.070000,-4.519523e+01,1.772625e+01,6.864654e+00,-7.765187e+00,5.008695e+00,1.030253e+01,-1.304556e+01,-1.902985e+01,5.355982e+00,2.406005e+00,6.341686e+00,1.921513e+01,1.756991e+01
8,0.080000,-4.147210e+01,2.085616e+01,1.285957e+01,-5.098925e+00,-1.195013e+00,5.810180e+00,-1.243738e+01,-2.477907e+01,4.288562e+00,4.752561e+00,-1.791928e+00,-1.739988e-01,1.738430e+01
9,0.090000,-4.163917e+01,1.978845e+01,4.984423e+00,-6.338396e+00,-1.944898e+00,5.847594e-01,-4.949674e+00,-1.615108e+01,8.200446e+00,6.885543e+00,-4.247737e+00,4.387735e+00,1.729151e+01
