frameIndex,frameTime,pcm_fftMag_mfcc[1],pcm_fftMag_mfcc[2],pcm_fftMag_mfcc[3],pcm_fftMag_mfcc[4],pcm_fftMag_mfcc[5],pcm_fftMag_mfcc[6],pcm_fftMag_mfcc[7],pcm_fftMag_mfcc[8],pcm_fftMag_mfcc[9],pcm_fftMag_mfcc[10],pcm_fftMag_mfcc[11],pcm_fftMag_mfcc[12],pcm_LOGenergy
0,0.000000,-3.299180e+01,-3.055053e+01,-1.760185e+01,1.029769e+01,-4.159788e+00,-4.311058e+00,-4.545440e+00,-1.883856e+01,7.986184e-01,4.655858e-01,-1.037914e+00,-9.079382e+00,1.929502e+01
1,0.010000,-3.652697e+01,-3.274648e+01,-2.038498e+01,1.151302e+01,-5.317570e+00,-7.908704e+00,-1.807547e+01,-1.263365e+01,5.239683e+00,3.775104e+00,7.870440e+00,-2.525184e+00,1.969331e+01
2,0.020000,-4.286728e+01,-3.315057e+01,-1.283739e+01,1.256712e+01,-4.943179e-01,-9.258719e-01,-2.714167e+01,-1.926525e+01,-5.256907e-01,4.970110e-01,-1.824014e+00,3.929950e+00,1.978642e+01
3,0.030000,-4.271962e+01,-2.541813e+01,-4.412339e+00,1.333691e+01,-2.813576e-01,1.712337e-01,-2.502248e+01,-1.643674e+01,-8.580706e+00,-3.518382e+00,4.006985e+00,7.867051e-01,1.966805e+01
4,0.040000,-4.699083e+01,-2.508451e+01,-1.073999e+01,7.321407e+00,7.626922e+00,4.779773e+00,-1.880466e+01,-4.969503e+00,-1.030032e+01,-6.780413e+00,-1.784517e+00,-4.954199e-01,1.967190e+01
5,0.050000,-4.994580e+01,-2.303300e+01,-1.062754e+01,1.204102e+01,1.492412e+01,2.985913e+00,-3.183115e+01,-7.974967e+00,3.967506e+00,-6.110812e+00,-8.403663e+00,-1.592792e+00,1.956195e+01
6,0.060000,-4.426718e+01,-1.349974e+01,-1.093713e+01,2.050392e+01,1.746184e+01,-5.415849e+00,-4.161953e+01,-1.680753e+01,-5.558129e+00,-1.106952e+01,5.008255e+00,7.735511e+00,1.904012e+01
7,0.070000,-3.428004e+01,-3.794577e+00,-2.875356e+00,1.235740e+01,8.742228e+00,1.423586e+00,-2.269483e+01,-9.875742e+00,-1.358529e+01,-1.392477e+01,-1.826046e-01,6.229731e+00,1.774928e+01
8,0.080000,-3.099656e+01,-3.565686e+00,4.384614e+00,1.204426e+01,6.096553e+00,9.966593e-01,-2.430721e+01,-7.637094e+00,-9.799865e-01,-9.027821e+00,-4.510984e+00,1.248235e-01,1.557780e+01
9,0.090000,-3.238153e+01,-8.918459e+00,3.713778e+00,1.165744e+01,6.297240e+00,1.462026e+01,-1.633977e+01,-1.110091e+01,-8.733379e+00,2.529265e-01,-7.977417e+00,-3.205369e+00,1.507616e+01
10,0.100000,-2.643217e+01,-5.532172e+00,4.046951e+00,1.600088e+01,2.557081e+00,2.251016e+00,-2.421418e+01,-7.842248e+00,-1.274972e+01,6.625916e+00,-1.366183e+01,2.551959e+00,1.440303e+01
11,0.110000,-2.084021e+01,3.812287e+00,8.857176e+00,9.110491e+00,4.499959e+00,3.995261e+00,-1.689346e+01,-1.314868e+01,-1.880098e+01,5.635051e+00,-3.863392e+00,4.003649e+00,1.440802e+01
12,0.120000,-1.925335e+01,3.613553e+00,1.393799e+01,9.688952e+00,-1.613408e+00,1.222915e-01,-1.805447e+01,-2.147854e+01,-1.484227e+01,2.922910e+00,-1.218427e+01,-6.695062e+00,1.456387e+01
13,0.130000,-1.999314e+01,8.204145e-01,1.748632e+01,1.119612e+01,2.790331e+00,-1.725600e+00,-1.568631e+01,-2.091490e+01,-1.339878e+01,-5.790265e-01,-1.278650e+01,-4.190599e+00,1.459808e+01
14,0.140000,-2.206806e+01,-3.604089e+00,9.164107e+00,5.636708e+00,3.616952e+00,-4.618536e+00,-2.187796e+01,-2.746187e+01,-1.639934e+01,-1.657210e+01,-4.789285e+00,5.637375e+00,1.451365e+01
15,0.150000,-2.531647e+01,-3.939409e+00,8.100053e+00,5.725193e+00,8.042494e+00,-7.891582e+00,-2.835154e+01,-2.898888e+01,-1.830895e+01,-8.458274e+00,-1.083594e+01,2.230355e+00,1.434242e+01
16,0.160000,-2.176189e+01,-2.630319e+00,-1.220135e+00,4.391847e+00,6.595195e+00,-1.140944e+01,-2.801746e+01,-2.399441e+01,-1.016813e+01,1.337680e+00,-5.642449e+00,-1.127957e+01,1.447453e+01
17,0.170000,-2.287140e+01,4.485995e+00,6.808208e+00,2.823626e+00,-2.742486e+00,-3.229203e+00,-1.593770e+01,-2.098607e+01,-1.305719e+01,6.588730e+00,-2.639258e+00,-6.022797e+00,1.468742e+01
18,0.180000,-2.601887e+01,6.495845e+00,1.044717e+00,6.256149e+00,-7.150630e+00,-4.402956e+00,-1.293201e+01,-1.496362e+01,-2.183712e+01,3.413368e+00,9.110698e+00,1.029381e+01,1.534343e+01
19,0.190000,-3.156718e+01,7.434922e+00,-8.580777e+00,-4.388185e+00,2.251503e-01,-2.043386e+01,-1.581646e+01,-8.190196e+00,-1.806174e+01,1.478804e+00,-1.234759e+01,1.465076e+01,1.643939e+01
20,0.200000,-3.675649e+01,5.074196e+00,-1.481577e+01,6.496741e+00,-9.946722e-01,-8.300651e+00,-1.974125e+01,-1.271543e+01,-6.831181e+00,9.373460e+00,-1.792752e+01,4.300050e+00,1.754498e+01
21,0.210000,-4.198244e+01,4.483509e+00,-1.135715e+01,6.688302e+00,7.224058e+00,4.589995e-01,-1.319071e+01,-5.514186e+00,-4.814125e+00,1.475864e+01,-1.620767e+01,-2.272078e+00,1.797348e+01
22,0.220000,-4.131912e+01,4.718897e+00,-1.444508e+01,5.410882e+00,1.180013e+01,1.116363e+01,-5.455766e+00,-1.374136e+01,7.449705e-02,5.308379e+00,6.998524e+00,8.247809e+00,1.823831e+01
